"nota","genotipo"
3,"ACYFB848/UBTTG228ZL.0"
3,"ACYFB848/ZTU7026ZL.2"
5,"ACYFB858/WTP6741ZL.2"
6.5,"ACYFC499/UBTTD400"
6,"ACYFC499/UBTTD490"
4,"ACYFC589/UBTTD490"
4,"ACYFD819/UBTTD400"
5,"ACYFD839/B6T7T943ZS.2"
4,"ACYFD839/WTP6741ZL.2"
2,"ACYFE908/B6T7T943ZS.2"
3.5,"ACYFE908/PETTF126ZL.2"
2,"ACYFE908/UBTTD400"
3,"ACYFE908/UBTTD490"
2.5,"ACYFE908/ZTU7026ZL.2"
3,"ACYXC247/ZTU7026ZL.2"
5,"ACYXE187/UBTTD400"
3,"ACYXE958/2FEB29"
2,"ACYXE958/2ZRB29ZS.0"
5,"ACYXE958/B6T7T943ZS.2"
3,"ACYXE958/B7T7T812ZS.4"
3,"ACYXE958/PETTF126ZL.2"
4,"ACYXE958/UBTTD490"
4,"ACYXE958/UBTTG228ZL.0"
3,"ACYXE958/UBTUE177ZL.2"
3,"ACYXE958/ZTU7026ZL.2"
3,"ACYYA996/PETTF126ZL.2"
4,"ACYYA996/ZTU7026ZL.2"
6,"ACYYD959/B6T7T943ZS.2"
3,"ACYYE978/WTP6741ZL.2"
4,"ACYYE998/B6T7T943ZS.2"
3,"AG8700PRO3"
2.9,"AG8700PRO4"
3.46153846153846,"AS1633PRO3"
2.21212121212121,"AS1820PRO3"
3.01492537313433,"AS1868PRO3"
3,"ATTSS0018/PETTF126ZL.2"
4,"ATTSS0018/UBTTG228ZL.0"
2.15384615384615,"B2401PWU"
3.23076923076923,"B2620PWU"
3.5,"B6T7T943ZS.2/1FTB72"
5,"B6T7T943ZS.2/9DRB50"
4,"B6T7T943ZS.2/ACYFB848"
3.5,"B6T7T943ZS.2/PEYXE036"
4,"B6T7T943ZS.2/UBYYD379"
5.5,"B6T7T943ZS.2/UBYYE109"
6,"B6T7T943ZS.2/WTP6741ZL.2/8CHB55"
5,"B6U6U617ZS.0/WYY8370"
3,"B6U6U617ZS.0/YYX7575"
3,"B6U6U617ZS.2/B6U6U617ZS.0/WYY8370"
3,"B6U6U617ZS.2/B6U6U617ZS.0/YYX7575"
3.5,"B7T1C128ZS.1/1ZDB84"
5,"B7T1C128ZS.1/2SHB03"
4,"B7T1C128ZS.1/B6T7T943ZS.2/ACYF9776/WYYB604"
5,"B7T1C128ZS.3/B7T1C128ZS.2/1YHB35"
4,"B7T1C128ZS.3/B7T1C128ZS.2/UBYYD399"
6,"B7T1C128ZS.4/B7T1C128ZS.2/1YHB35"
3,"B7T1C128ZS.4/B7T1C128ZS.2/UBYYD399"
6,"B7T1C128ZS.4/B7T1C128ZS.3/1YHB35"
3,"B7T1C128ZS.4/B7T1C128ZS.3/UBYYD399"
2,"B7T7T812ZS.4/B7T7T812ZS.3/WYF6091"
2,"B7T7T812ZS.4/B7T7T812ZS.3/WYY8370"
2.5,"B7T7T812ZS.4/PEYFA119"
4.5,"B7T7T812ZS.4/UBFXC736"
3,"B7T7T812ZS.4/WYF6091"
2,"B7T7T812ZS.4/WYY8370"
3,"B7T7T812ZS.5/B7T7T812ZS.3/WYF6091"
2,"B7T7T812ZS.5/B7T7T812ZS.3/WYY8370"
4,"B7T7T812ZS.5/B7T7T812ZS.4/WYF6091"
2,"B7T7T812ZS.5/B7T7T812ZS.4/WYY8370"
3.5,"B7Y6Y842ZL.1/8DTB18"
3,"B7Y6Y842ZL.1/9DRB50"
3,"B7Y6Y842ZL.1/UBTUE619"
2,"B7Y6Y842ZL.1/WYY8370"
4,"BBJKX1003/2SHB03"
4,"BBJKX1003/PETTF126ZL.2"
5,"BBJKX1003/UBTTG228ZL.0"
2,"CBJKW5072/2PHB97ZS.0"
3,"CBJKW5072/B6T7T943ZS.2"
2,"CBJKW5072/WTP6741ZL.2"
5,"CTI354/2SHB03"
4,"CTI354/8DTB18"
3,"CTI354/B7Y6Y842ZL.1"
3,"CTI354/PETTF126ZL.2"
6,"CTI354/UBTTG228ZL.0"
5,"CTJ23/2SHB03"
4,"CTJ23/8DTB18"
7,"CTJ23/B7Y6Y842ZL.1"
4,"CTJ23/PETTF126ZL.2"
6,"CTJ23/UBTTG228ZL.0"
4,"D1352/2SHB03"
7,"D1352/PETTF126ZL.2"
3,"D8BB29/WTP6741ZL.2"
2.15384615384615,"DKB255PRO3"
2.5,"DKB335PRO3"
3.42424242424242,"DKB360PRO3"
7,"F1402/PETTF126ZL.2"
5,"F1402/UBTTG228ZL.0"
7,"F2EBC005-B-275/1PEB88"
7,"F2EBC005-B-275/1ZRB84ZS.0"
7,"F2EBC005-B-275/WTP6741ZL.2"
7,"F2EBC006-B-190/1PEB88"
5,"F2EBC006-B-190/1ZRB84ZS.0"
7,"F2EBC006-B-190/WTP6741ZL.2"
6,"F2EBC012-B-38/1PEB88"
5,"F2EBC012-B-38/1ZRB84ZS.0"
3,"F2EBC013-B-423/1PEB88"
2,"F2EBC013-B-423/1ZRB84ZS.0"
3,"F2EBC013-B-423/WTP6741ZL.2"
2,"F2EBC014-B-129/1ZRB84ZS.0"
5,"F2EBC014-B-129/8DTB18"
3,"F2EBC014-B-129/WTP6741ZL.2"
3,"F2EBC014-B-256/1PEB88"
2,"F2EBC014-B-256/1ZRB84ZS.0"
4,"F2EBC014-B-256/WTP6741ZL.2"
6,"F2EBC014-B-420/1PEB88"
3,"F2EBC014-B-420/1ZRB84ZS.0"
4,"F2EBC014-B-420/WTP6741ZL.2"
5,"F2EBC022-B-188/1PEB88"
3,"F2EBC022-B-188/1ZRB84ZS.0"
5,"F2EBC022-B-188/WTP6741ZL.2"
6,"F2EBC024-B-58/1ZRB84ZS.0"
6,"F2EBC024-B-58/WTP6741ZL.2"
4,"F2HBC001DH-11/1ZRB84ZS.0"
6,"F2HBC001DH-11/WTP6741ZL.2"
3,"F3EBC002-B-151/1PEB88"
5,"F4EBC002-B-368/1PEB88"
7,"F4EBC004-B-106/1ZRB84ZS.0"
6,"F4EBC004-B-106/WTP6741ZL.2"
5,"F4EBC004-B-68/1PEB88"
3,"F4EBC004-B-68/1ZRB84ZS.0"
7,"F4EBC004-B-68/WTP6741ZL.2"
6,"F8HBC001DH-76/1PEB88"
5,"F8HBC001DH-76/1ZRB84ZS.0"
3,"F8HBC001DH-76/4DEB01"
6,"F8HBC001DH-76/WTP6741ZL.2"
5.5,"K9606TG"
5.09090909090909,"K9606VIP3"
3,"LOFYD680/WTP6741ZL.2"
3,"LOFYD700/B6T7T943ZS.2"
5.5,"LOTTC076/F1402"
3,"LOTTC076ZL.1/1EEB17"
