#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC02 Santa Helena-PR,22WNACYG501BC02,BC02,501,21ALL11288L_MM,,UR271229687,1,1103,4,104,519,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,3,,,,,,,,,,,,,SX5885ZS.0,58,,,,,,,,,,,,1,,,,,,,,,12,-54.37937300,-24.93076300,
,BRTR BC38 Rio Brilhante-MS,22WNACYG501BC38,BC38,501,21ALL11288L_MM,,UR271226359,1,1103,27,65,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,2,2,,,,,,,,,,2.0000,,,SX5885ZS.0,61,,,,,,,,,,,,1,,,135,240,,,,,12,-54.59348000,-21.77285000,
,BRTR BC31 Astorga-PR,22WNACYGM4FBC31,BC31,M4F,22AC653786,,UR272442405,1,1103,51,80,103,ACYFD771/WTP6741ZL.2,AC22003786,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,2.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC31 Astorga-PR,22WNACYG501BC31,BC31,501,21ALL11288L_MM,,UR271230935,1,1103,8,24,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,,,,,,,,,,,7.0000,,,SX5885ZS.0,52,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC22 S.Seb.Amoreira-PR,22WNACYGM4FBC22,BC22,M4F,21ALL112YEX_MM,,UR272455393,1,1103,24,49,103,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGM4F,,,,,,,,,,,,,,,,,,,,,SX6003ZS.0,,,,,,,,,,,,,1,,,,,,,,,12,-50.76517000,-23.43976000,
,BRTR BC33 Itaporã-MS,22WNACYG501BC33,BC33,501,21ALL11288L_MM,,UR271230727,1,1103,31,17,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,,,,,,,,,,,6.0000,,,SX5885ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC01 Stª T. Itaipu-PR,22WNACYG501BC01,BC01,501,21ALL11288L_MM,,UR271232807,1,1103,6,24,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,2,,,,,,,,,,3.0000,,,SX5885ZS.0,55,,,,,,,,,,,,1,,,,,,,,,12,-54.47528800,-25.41016500,
,BRTR BC31 Astorga-PR,22WNACYGX4EBC31,BC31,X4E,21ALL112YFG_MM,,UR272415859,1,1103,37,169,103,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGX4E,,,,,,,,,,,,,,,,,,,,,SXD218ZS.0,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC31 Astorga-PR,22WNACYGO4CBC31,BC31,O4C,22AC651320,,UR272436679,1,1103,53,169,103,ACTTE618ZS.0/8XHB78,AC22001320,,,22WNACYGO4C,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGX4EBC33,BC33,X4E,21ALL112YFG_MM,,UR272426519,1,1103,60,81,103,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGX4E,,,,,,,,,,,,,,,,,,4.0000,,,SXD218ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGX4ABC33,BC33,X4A,22AC653905,,UR272427427,1,1103,17,112,103,WTTC732ZL.0;WTTC732ZL.1;WTTC732ZL.3/WYF6191,AC22003905,,,22WNACYGX4A,,,,,,,,,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGM4IBC33,BC33,M4I,20LO000727,,UR272420643,1,1103,21,64,103,D2BB51/8XHB78,LO20000728,,,22WNACYGM4I,,,,,,,,,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
